" - Edit"," - Edit"
"",""
"Action","Action"
"Add Category","Add Category"
"Add Child Category","Add Child Category"
"Add Gallery","Add Gallery"
"Add Root Category","Add Root Category"
"An error occurred while trying to delete the category.","An error occurred while trying to delete the category."
"An error occurred while updating the categories.","An error occurred while updating the categories."
"An error occurred while updating the galleries.","An error occurred while updating the galleries."
"Are you sure?","Are you sure?"
"Associated products","Associated products"
"Big Image","Big Image"
"CSV","CSV"
"Can't delete root category.","Can't delete root category."
"Categories","Categories"
"Category move error","Category move error"
"Category move operation is not possible: parent category is equal to child category.","Category move operation is not possible: parent category is equal to child category."
"Category move operation is not possible: the current category was not found.","Category move operation is not possible: the current category was not found."
"Category move operation is not possible: the new parent category was not found.","Category move operation is not possible: the new parent category was not found."
"Category subtree widget","Category subtree widget"
"Category subtree","Category subtree"
"Category was saved","Category was saved"
"Category was successfully deleted.","Category was successfully deleted."
"Category was successfully saved","Category was successfully saved"
"Category","Category"
"Change Category","Change Category"
"Change status","Change status"
"Collapse All","Collapse All"
"Column Width","Column Width"
"Could not find category to delete.","Could not find category to delete."
"Could not find gallery to delete.","Could not find gallery to delete."
"Created at","Created at"
"Delete Category","Delete Category"
"Delete Gallery","Delete Gallery"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Display as tree","Display as tree"
"Edit Category '%s'","Edit Category '%s'"
"Edit Gallery '%s'","Edit Gallery '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving category","Error saving category"
"Error saving gallery","Error saving gallery"
"Excel","Excel"
"Expand All","Expand All"
"Galleries","Galleries"
"Gallery was saved","Gallery was saved"
"Gallery was successfully deleted.","Gallery was successfully deleted."
"Gallery was successfully saved","Gallery was successfully saved"
"Gallery","Gallery"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Limit First Load","Limit First Load"
"Manage Categories","Manage Categories"
"Meta description for categories list page","Meta description for categories list page"
"Meta description for galleries list page","Meta description for galleries list page"
"Meta information","Meta information"
"Meta keywords for categories list page","Meta keywords for categories list page"
"Meta keywords for galleries list page","Meta keywords for galleries list page"
"Meta title for categories list page","Meta title for categories list page"
"Meta title for galleries list page","Meta title for galleries list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"New Category","New Category"
"New Root Category","New Root Category"
"No","No"
"None","None"
"Ordering","Ordering"
"Please select categories to delete.","Please select categories to delete."
"Please select categories.","Please select categories."
"Please select galleries to delete.","Please select galleries to delete."
"Please select galleries.","Please select galleries."
"Position","Position"
"Recursion level","Recursion level"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Root","Root"
"Save And Continue Edit","Save And Continue Edit"
"Save Category","Save Category"
"Save Gallery","Save Gallery"
"Select Category","Select Category"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The categories has been deleted.","The categories has been deleted."
"The category has been saved.","The category has been saved."
"The galleries has been deleted.","The galleries has been deleted."
"There was a problem saving the category.","There was a problem saving the category."
"There was a problem saving the gallery.","There was a problem saving the gallery."
"There was an error deleting categories.","There was an error deleting categories."
"There was an error deleting category.","There was an error deleting category."
"There was an error deleting galleries.","There was an error deleting galleries."
"There was an error deleting gallery.","There was an error deleting gallery."
"There was an error updating categories.","There was an error updating categories."
"There was an error updating galleries.","There was an error updating galleries."
"This category no longer exists.","This category no longer exists."
"This gallery no longer exists.","This gallery no longer exists."
"Thumbnail","Thumbnail"
"Title","Title"
"Total of %d categories were successfully deleted.","Total of %d categories were successfully deleted."
"Total of %d categories were successfully updated.","Total of %d categories were successfully updated."
"Total of %d galleries were successfully deleted.","Total of %d galleries were successfully deleted."
"Total of %d galleries were successfully updated.","Total of %d galleries were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find category to save.","Unable to find category to save."
"Unable to find gallery to save.","Unable to find gallery to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"